,Marca,Modelo,Carroceria,Largo,Alto,Ancho,Peso,Maletero,Depósito,Potencia,Plazas,Isofix,Consumo,Combustible,Emisiones,Etiqueta,Precio,Valoración
94,Land Rover,"['Rover', 'Defender', 'Híbrido']",Todoterreno,4.758 m,1.967 m,1.996 m,2613 kg,499 l,90 l,300 CV,5 y 7,3.0,2.7-2.9 l/100Km,['PHEV Gasolina'],61-65 g/Km,"[' Eco', ' Zero']",81.015 €,"4,1"
95,Mercedes-Benz,['Vito'],Comercial,4.895 m,1.890 m,1.928 m,2023 kg,830 l,57 l,136-239 CV,8,6.0,6.8-10.0 l/100Km,"[' Diesel', 'MHEV Gasolina']",178-228 g/Km,"[' C', ' Eco', ' Zero']",52.403 €,"3,5"
96,Renault,['Trafic'],Monovolumen Grande,4.999 m,1.973 m,1.956 m,1919 kg,4100 l,80 l,110-170 CV,9 y 8,3.0,5.9-7.2 l/100Km,[' Diesel'],174-188 g/Km,"[' C', ' Zero']",47.725 €,"3,0"
97,Renault,['Trafic'],Monovolumen Grande,4.999 m,1.973 m,1.956 m,1919 kg,4100 l,80 l,110-170 CV,9 y 8,2.0,5.9-7.2 l/100Km,[' Diesel'],174-188 g/Km,"[' C', ' Zero']",47.725 €,"3,0"
98,Nissan,['Primastar'],Comercial,5.080 m,1.963 m,1.956 m,1844 kg,1800 l,80 l,110-150 CV,2 y 3 y 5 y 6 y 7 y 9,2.0,6.8-7.1 l/100Km,[' Diesel'],178-185 g/Km,[' C'],43.866 €,"3,0"
99,Audi,['SQ7'],SUV XXL,5.072 m,1.743 m,1.97 m,2275 kg,887 l,85 l,507 CV,7,3.0,12.2 l/100Km,[' Gasolina'],272 g/Km,"[' C', ' Eco']",124.770 €,"3,8"
100,Nissan,['NV300'],Comercial,4.999 m,1.970 m,1.956 m,1844 kg,3200 l,80 l,110-170 CV,6 y 9 y 8,3.0,7.0-7.9 l/100Km,[' Diesel'],120-140 g/Km,[' C'],17.200 €,"3,0"
101,BYD,"['Tang', 'eléctrico']",SUV XXL,4.875 m,1.745 m,1.955 m,2630 kg,235 l,-,517 CV,7,2.0,530 Kms,[' Eléctrico'],0 g/Km,"[' Eco', ' C', ' Zero']",72.000 €,"3,0"
102,Land Rover,"['Rover', 'Discovery']",Todoterreno,4.970 m,1.888 m,2.0 m,2391 kg,258 l,89 l,249-350 CV,7,2.0,7.9-8.3 l/100Km,['MHEV Diesel'],207-219 g/Km,"[' C', ' Eco', ' Zero']",83.370 €,"3,7"
103,VOYAH,['Dream'],Monovolumen Grande,5.315 m,1.800 m,1.985 m,2666 kg,427 l,-,435 CV,7,3.0,482 Kms,[' Eléctrico'],0 g/Km,"[' Eco', ' C', ' Zero']",90.038 €,"3,6"
